insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','25Q1',0.55,0.01,1.75,0.18,0.05,41.7,32.6,9.19,-0.19,0.04,16.2,-34.6,7.4,-0.79,-0.61,-322,-150,-108,-0.95,-0.72,-27.2,-19.2,-18.9,-13.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2014',5.97,-0.31,-4.9,0.17,0.19,929,2.85,3.17,-1.86,0.25,11.7,-31.2,2.38,-0.89,1.37,60.7,-26,25.5,-1.07,0.43,-14.6,18.4,-9.54,10.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2013',6.28,0.87,16.1,-0.02,-0.32,-107,-0.33,-5.94,-2.11,-0.74,-54.2,-33.6,-8.3,-2.26,-0.97,-75.1,-51.5,-27.6,-1.5,-0.65,-33,-19.3,-20.3,-11.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2012',5.41,-0.48,-8.15,0.3,-0.11,-26.8,5.61,-1.43,-1.37,-0.24,-21.7,-25.3,-6.19,-1.29,2.59,66.8,-23.9,42.1,-0.85,1.82,-13.7,20.1,-8.59,15.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2011',5.89,-2.57,-30.4,0.42,-0.96,-69.7,7.05,-9.14,-1.12,-0.85,-309,-19.1,-15.8,-3.88,-3.93,-8829,-65.9,-61.8,-2.67,-2.7,-33.8,-31.2,-23.7,-22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2010',8.47,-0.4,-4.56,1.37,-0.25,-15.5,16.2,-2.09,-0.27,-0.2,-257,-3.24,-2.38,0.04,2.04,102,-4.16,28.9,0.03,1.44,-2.6,16.5,-1.76,10.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2009',8.87,-3.56,-28.7,1.62,2.85,232,18.3,28.2,-0.08,3.63,97.9,-0.87,28.9,-1.99,1.8,47.5,-33,19,-1.41,1.23,-19.1,13.5,-11.9,8.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2008',12.4,-7.05,-36.2,-1.23,-1.8,-318,-9.9,-12.8,-3.7,-0.89,-31.6,-29.8,-15.3,-3.8,-2.52,-198,-52,-37.4,-2.64,-1.7,-32.6,-17.9,-20.7,-11.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2007',19.5,1.05,5.68,0.56,-4.3,-88.4,2.89,-23.5,-2.81,-5.32,-212,-14.4,-28,-1.28,-2.48,-206,-14.6,-21.1,-0.94,-1.95,-14.7,-22.7,-9.02,-13.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2006',18.4,0.41,2.28,4.87,-0.84,-14.8,26.4,-5.28,2.5,-1.05,-29.5,13.6,-6.11,1.2,-1.23,-50.6,6.51,-6.97,1.01,-1.28,7.95,-9.4,4.84,-6.48);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2005',18,0.84,4.88,5.71,0.08,1.35,31.7,-1.1,3.55,0.11,3.13,19.7,-0.33,2.43,0.59,31.9,13.5,2.53,2.29,0.41,17.4,2.45,11.3,2.33);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2004',17.2,2.53,17.2,5.63,1,21.6,32.8,1.18,3.44,0.77,28.7,20,1.78,1.84,0.37,25.3,11,0.92,1.88,0.28,14.9,2.22,8.99,1.91);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2003',14.7,2.3,18.6,4.63,2.06,80.2,31.6,10.8,2.67,1.83,216,18.2,11.4,1.47,0.99,205,10,6.13,1.6,1.05,12.7,8.3,7.08,4.66);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2002',12.4,-0.36,-2.81,2.57,-1.71,-39.9,20.8,-12.9,0.85,-1.68,-66.5,6.86,-13,0.48,-1,-67.4,3.91,-7.72,0.55,-1.32,4.39,-10.2,2.41,-4.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2001',12.7,1.82,16.7,4.28,1.88,78.2,33.7,11.6,2.53,1.87,285,19.9,13.9,1.48,0.82,126,11.6,5.63,1.87,1.02,14.6,7.63,7.32,4.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3066','2000',10.9,null,null,2.4,null,null,22,null,0.66,null,null,6.02,null,0.65,null,null,6,null,0.85,null,7,null,3.17,null);
