insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','25Q1',12.3,1.71,16.2,3.96,0.84,26.8,32.3,2.71,0.73,0.13,21.7,5.93,0.27,0.22,0,-1.85,4.06,-0.15,0.5,-0.01,8.75,0.47,3.77,-0.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2014',10.2,2.1,26,3.64,0.92,34,35.8,2.14,0.95,0.5,113,9.37,3.83,0.78,0.36,83.9,7.45,2.19,2.06,0.93,13,4.96,8.18,2.75);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2013',8.06,1.98,32.7,2.71,0.5,22.6,33.7,-2.76,0.45,0.09,24.8,5.54,-0.35,0.42,0.13,45.5,5.27,0.46,1.13,0.35,8.07,2.31,5.43,1.24);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2012',6.07,0.99,19.5,2.21,0.36,19.2,36.5,-0.07,0.36,0.01,2.23,5.89,-0.99,0.29,0.02,9.02,4.8,-0.46,0.78,0.07,5.75,0.43,4.2,0.28);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2011',5.08,-0.87,-14.6,1.86,-0.76,-29.1,36.5,-7.51,0.35,-0.41,-54.2,6.88,-5.96,0.27,-0.5,-65.1,5.26,-7.61,0.71,-1.33,5.32,-10.8,3.92,-8.32);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2010',5.95,1.38,30.1,2.62,0.97,58.8,44,7.96,0.76,0.44,137,12.8,5.79,0.77,0.43,127,12.9,5.49,2.04,1.14,16.2,8.65,12.2,6.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2009',4.57,-0.6,-11.6,1.65,-0.06,-3.39,36.1,3.08,0.32,0.01,3.77,7.06,1.05,0.34,-0.16,-32.4,7.38,-2.28,0.9,-0.28,7.52,-2.54,5.84,-1.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2008',5.18,-0.67,-11.4,1.71,-0.31,-15.2,33,-1.48,0.31,0.05,20.1,6.01,1.58,0.5,0.06,13.7,9.66,2.11,1.18,0.24,10.1,1.56,7.65,1.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2007',5.84,-0.22,-3.63,2.01,0.17,9.39,34.5,4.1,0.26,0.33,443,4.44,5.68,0.44,0.66,301,7.55,11,0.94,1.41,8.51,12.6,5.89,8.44);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2006',6.06,-2.11,-25.9,1.84,-0.38,-17.1,30.4,3.22,-0.08,-0.01,-8.6,-1.25,-0.4,-0.22,0.5,69.4,-3.47,5.26,-0.47,1.05,-4.14,8.81,-2.56,5.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2005',8.18,-0.57,-6.46,2.22,-0.01,-0.45,27.1,1.64,-0.07,-0.15,-185,-0.85,-1.79,-0.71,-0.3,-73.5,-8.73,-4.03,-1.52,-0.64,-13,-6.2,-7.68,-3.67);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2004',8.74,-0.55,-5.93,2.23,-0.73,-24.6,25.5,-6.34,0.08,-0.75,-90.2,0.94,-8.06,-0.41,-0.47,-868,-4.7,-5.28,-0.88,-0.99,-6.75,-7.58,-4.01,-4.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2003',9.29,1.45,18.4,2.96,0.9,43.8,31.8,5.61,0.84,0.44,111,9,3.94,0.05,-0.26,-83,0.58,-3.44,0.11,-0.56,0.83,-4.01,0.53,-2.81);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2002',7.85,-0.25,-3.14,2.06,-0.34,-14.1,26.2,-3.34,0.4,-0.29,-42.5,5.06,-3.46,0.32,-0.36,-53.3,4.02,-4.31,0.67,-0.89,4.85,-6.2,3.34,-3.72);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2001',8.1,0.54,7.09,2.4,0.13,5.87,29.6,-0.34,0.69,-0.11,-13.9,8.52,-2.08,0.67,0.09,16,8.33,0.64,1.56,0.13,11,0.95,7.06,1.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2000',7.56,null,null,2.26,null,null,29.9,null,0.8,null,null,10.6,null,0.58,null,null,7.69,null,1.43,null,10.1,null,5.85,null);
