insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2024',13.6,0.14,1.03,1.29,-0.19,-12.8,9.48,-1.5,-0.6,0.05,8.26,-4.39,0.44,0.73,0.35,94.3,5.37,2.58,1.04,0.5,2.73,1.29,1.97,0.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2013',24.8,-0.18,-0.72,2.71,-0.48,-15,10.9,-1.85,-0.17,-0.36,-190,-0.68,-1.43,0.1,-0.54,-85.1,0.39,-2.17,0.12,-0.66,0.66,-3.79,0.35,-1.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2012',25,-4.78,-16.1,3.2,-0.85,-21.1,12.8,-0.81,0.19,-0.08,-29.4,0.75,-0.14,0.64,0.06,9.69,2.56,0.6,0.78,0.05,4.46,0.32,2.28,0.21);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2011',29.8,-1.49,-4.76,4.05,-0.25,-5.84,13.6,-0.16,0.27,-0.39,-59.2,0.89,-1.19,0.58,-0.26,-30.7,1.96,-0.73,0.73,-0.32,4.13,-1.98,2.08,-0.79);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2010',31.2,-0.54,-1.71,4.3,-0.72,-14.4,13.8,-2.04,0.65,-0.42,-39.1,2.08,-1.28,0.84,-0.03,-2.97,2.69,-0.03,1.05,-0.03,6.11,-0.18,2.86,0.25);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2009',31.8,-17.9,-36,5.02,-1,-16.7,15.8,3.67,1.07,0.29,37.4,3.36,1.8,0.87,0.36,70.5,2.73,1.74,1.08,0.45,6.3,2.65,2.61,1.32);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2008',49.7,-7.29,-12.8,6.03,-1.55,-20.4,12.1,-1.16,0.78,-1.94,-71.4,1.57,-3.21,0.51,-2.1,-80.5,0.99,-3.6,0.63,-2.94,3.64,-18.7,1.29,-6.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2007',57,9.38,19.7,7.57,1.29,20.6,13.3,0.1,2.72,0.83,43.7,4.78,0.8,2.61,1.09,71.8,4.59,1.38,3.57,1.47,22.3,5.81,7.36,2.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2006',47.6,8.02,20.3,6.28,0.2,3.33,13.2,-2.17,1.89,0.19,11,3.98,-0.33,1.52,0.86,130,3.2,1.53,2.1,1.19,16.5,7.95,5.33,2.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2005',39.6,10.2,34.6,6.08,1.43,30.8,15.4,-0.45,1.71,1.61,1630,4.31,3.98,0.66,3.01,128,1.67,9.69,0.91,4.15,8.55,36,2.69,13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2004',29.4,8.09,38,4.65,1.32,39.8,15.8,0.21,0.1,-0.81,-89.1,0.34,-3.91,-2.35,-2.61,-987,-8.02,-9.26,-3.24,-3.6,-27.5,-30.2,-10.3,-11.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2003',21.3,0.45,2.17,3.32,0.11,3.31,15.6,0.17,0.9,-0.01,-1.49,4.25,-0.16,0.26,0.03,12.8,1.24,0.12,0.36,0.04,2.67,0.24,1.1,0.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2002',20.8,4.47,27.3,3.22,1.28,66,15.4,3.6,0.92,0.89,3786,4.4,4.26,0.23,0.12,109,1.12,0.44,0.32,0.17,2.43,1.24,0.99,0.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8115','2001',16.4,null,null,1.94,null,null,11.8,null,0.02,null,null,0.14,null,0.11,null,null,0.68,null,0.15,null,1.19,null,0.48,null);
