insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','25Q1',22.9,0.51,2.3,5.92,1.1,22.8,25.9,4.33,-0.18,1.42,89,-0.77,6.36,-0.43,1.03,70.4,-1.9,4.65,-0.3,0.7,-5.23,13.9,-1.81,4.74);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2013',57.7,-0.02,-0.04,9.17,-0.27,-2.82,15.9,-0.46,0.42,-0.24,-36.9,0.72,-0.42,0.09,0.05,102,0.16,0.09,0.08,0.04,0.5,0.29,0.2,0.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2012',57.7,1.75,3.13,9.43,1.43,17.9,16.4,2.05,0.66,0.61,1121,1.14,1.05,0.04,-0.16,-78.4,0.07,-0.28,0.04,-0.14,0.22,-0.82,0.1,-0.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2011',55.9,1.44,2.64,8,-1.46,-15.4,14.3,-3.05,0.05,-1.46,-96.4,0.1,-2.69,0.21,-1.01,-83.1,0.35,-1.89,0.18,-0.91,1.04,-5.73,0.5,-2.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2010',54.5,8.64,18.8,9.46,-0.27,-2.83,17.4,-3.87,1.52,-0.43,-22.1,2.78,-1.46,1.22,-0.92,-43.1,2.24,-2.42,1.09,-1,6.77,-5.56,3.42,-3.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2009',45.9,-6.9,-13.1,9.73,2.24,30,21.2,7.03,1.95,1.88,2628,4.25,4.11,2.14,2.73,460,4.66,5.78,2.09,2.71,12.3,15.7,6.54,8.36);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2008',52.8,-0.25,-0.47,7.49,-1.57,-17.3,14.2,-2.89,0.07,-1.07,-93.8,0.14,-2.02,-0.59,-1.3,-184,-1.12,-2.46,-0.62,-1.42,-3.42,-8.18,-1.82,-3.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2007',53,16.4,44.9,9.06,2.9,47,17.1,0.24,1.14,-0.3,-20.9,2.16,-1.79,0.71,-0.29,-28.7,1.34,-1.38,0.8,-0.96,4.76,-5.25,2.16,-1.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2006',36.6,12.6,52.8,6.16,2.52,69.2,16.8,1.63,1.44,0.73,103,3.95,0.97,1,0.53,114,2.72,0.78,1.76,0.76,10,3.88,4.15,1.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2005',23.9,6.17,34.7,3.64,0.77,26.7,15.2,-0.96,0.71,0.7,4552,2.97,2.89,0.46,1.14,169,1.94,5.75,1,2.46,6.13,15.1,2.97,7.33);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2004',17.8,5.25,41.9,2.87,1.18,69.5,16.2,2.64,0.02,0.13,114,0.09,0.97,-0.68,-0.62,-1041,-3.81,-3.34,-1.46,-1.33,-8.98,-8.26,-4.36,-3.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2003',12.5,4.47,55.6,1.7,0.15,9.66,13.5,-5.67,-0.11,-0.48,-130,-0.89,-5.5,-0.06,-0.99,-106,-0.47,-12.1,-0.13,-2.35,-0.72,-12.4,-0.42,-8.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2002',8.05,1.89,30.8,1.55,0.11,7.93,19.2,-4.06,0.37,0.03,7.89,4.61,-0.98,0.93,0.13,15.9,11.6,-1.49,2.22,-0.52,11.7,1,7.75,1.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2001',6.15,null,null,1.43,null,null,23.3,null,0.34,null,null,5.59,null,0.8,0.17,27.4,13.1,null,2.74,-0.7,10.7,null,6.67,null);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2000',null,null,null,null,null,null,null,null,null,null,null,null,null,0.63,0.38,149,null,null,3.44,0.71,null,null,null,null);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','1999',null,null,null,null,null,null,null,null,null,null,null,null,null,0.25,null,null,null,null,2.73,null,null,null,null,null);
