insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','25Q1',3.83,1,35.2,1.35,1.39,3273,35.2,36.7,-0.16,1.48,90.1,-4.25,53.7,-0.07,1.29,94.6,-1.91,46.1,-0.12,2.2,-2.07,64.7,-1.35,24.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2014',24.1,0.66,2.82,6.73,0.61,9.89,27.9,1.79,0.82,0.36,79.4,3.39,1.45,0.47,0.42,729,1.78,1.73,1.26,1.1,7.96,7.71,4.03,3.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2013',23.5,-2.77,-10.6,6.12,-0.77,-11.2,26.1,-0.17,0.46,-0.59,-56.3,1.94,-2.03,0.06,-1.08,-95,0.05,-4.45,0.16,-3.72,0.25,-31.1,0.1,-7.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2012',26.2,-6.95,-20.9,6.89,0.71,11.4,26.3,7.63,1.04,4.51,130,3.97,14.4,1.14,4.15,138,4.5,13.4,3.88,8.69,31.4,97,7.49,23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2011',33.2,-12.4,-27.2,6.19,-4.85,-43.9,18.6,-5.56,-3.47,-3.19,-1157,-10.5,-9.85,-3.01,0.01,0.4,-8.86,-2.27,-4.81,0.02,-65.6,-24.8,-15.5,-0.42);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2010',45.6,9.27,25.5,11,-0.41,-3.56,24.2,-7.3,-0.28,-1.4,-125,-0.61,-3.7,-3.02,-3.72,-532,-6.59,-8.85,-4.83,-5.99,-40.9,-50.5,-15,-19.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2009',36.3,-0.72,-1.94,11.4,-0.31,-2.67,31.5,-0.24,1.12,-1.15,-50.7,3.09,-3.05,0.7,-1.23,-63.9,2.26,-2.76,1.16,-2.52,9.65,-16.6,4.44,-7.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2008',37,12.4,50.6,11.8,4.44,60.7,31.8,2,2.28,2.03,846,6.14,5.17,1.93,1.02,111,5.01,1.44,3.68,2.69,26.2,11,11.5,5.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2007',24.6,1.08,4.57,7.32,2.06,39.1,29.8,7.39,0.24,1.23,124,0.98,5.2,0.91,1.74,211,3.57,7.13,0.99,1.88,15.2,29.4,6.29,13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2006',23.5,3.68,18.5,5.26,1.23,30.6,22.4,2.07,-0.99,-0.05,-5.38,-4.22,0.53,-0.82,0.81,49.4,-3.56,4.65,-0.89,0.87,-14.2,8.54,-6.7,5.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2005',19.8,4.28,27.5,4.03,0.99,32.5,20.3,0.77,-0.94,0.84,47.1,-4.75,6.69,-1.63,0.34,17.4,-8.22,4.46,-1.76,0.37,-22.7,-0.68,-12.1,-0.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2004',15.6,-18.2,-53.9,3.04,-2.34,-43.5,19.5,3.58,-1.78,-3.05,-241,-11.4,-15.2,-1.97,-3.21,-259,-12.7,-16.3,-2.13,-3.47,-22,-34.5,-11.9,-18.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2003',33.7,null,null,5.38,null,null,16,null,1.27,null,null,3.75,null,1.24,null,null,3.67,null,1.34,null,12.5,null,6.53,null);
