insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','23Q3',0.3,-0.9,-74.8,0.02,0.04,245,7.04,8.26,0.09,1.24,108,31.2,127,1.21,2.51,193,396,508,1.86,3.86,28.4,54.7,21.6,42.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2009',2.67,-0.34,-11.4,0.32,0.26,402,12.1,9.95,-0.12,0.47,79.7,-4.5,15.1,-0.02,0.73,97.6,-0.67,24.2,-0.04,1.35,-0.31,11.9,-0.26,9.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2008',3.01,-1.14,-27.5,0.06,-0.56,-89.7,2.13,-12.9,-0.59,-0.64,-1243,-19.6,-20.9,-0.75,-0.65,-663,-24.8,-22.5,-1.39,-1.21,-12.2,-10.7,-9.67,-8.49);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2007',4.16,-0.05,-1.16,0.62,-0.24,-28,15,-5.6,0.05,-0.34,-86.6,1.24,-7.95,-0.1,-0.36,-138,-2.36,-8.51,-0.18,-0.66,-1.53,-5.61,-1.18,-4.26);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2006',4.2,0.2,4.95,0.87,0.01,0.89,20.6,-0.83,0.39,-0.08,-17.9,9.2,-2.56,0.26,0.92,139,6.15,22.6,0.48,1.73,4.08,25.4,3.09,18.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2005',4.01,4.01,null,0.86,0.86,null,21.4,null,0.47,0.47,null,11.8,null,-0.66,-0.66,null,-16.4,null,-1.25,-2.97,-21.3,-21.3,-15.3,-15.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2004',0,-5.93,-100,0,-1.23,-100,null,null,0,-0.71,-100,null,null,0,-0.63,-100,null,null,1.72,0.17,0,-11.8,0,-8.25);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2003',5.93,-0.1,-1.6,1.23,-0.08,-6.03,20.8,-0.98,0.71,0.03,4.39,12,0.69,0.63,0.09,16.8,10.7,1.69,1.55,0.08,11.8,0.54,8.25,-0.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2002',6.02,1.55,34.6,1.31,0.6,85.9,21.7,5.99,0.68,0.31,82.5,11.3,2.96,0.54,0.2,59.3,9.02,1.4,1.47,0.45,11.3,3.74,8.75,2.84);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2001',4.48,-1.05,-19,0.7,-0.34,-32.8,15.7,-3.22,0.37,-0.4,-51.5,8.31,-5.57,0.34,-0.33,-49.5,7.62,-4.6,1.02,-1.57,7.52,-7.49,5.92,-6.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2000',5.53,null,null,1.05,null,null,19,null,0.77,null,null,13.9,null,0.68,null,null,12.2,null,2.59,null,15,null,12,null);
